27.16945945945946,-8.382413127413127,1.5
13.824343906677,-11.206532391493472,1.5
1.3583474290100348,-13.844610770005275,1.5
-12.095924613832473,-16.69182994244975,1.5
-24.972236263553768,-19.416740014337297,1.5
-38.280166659976004,-22.232990083430202,1.5
-51.38885071275732,-25.007075254426248,1.5
-61.60227413828322,-27.168459750060922,1.5
-68.87242002471979,-28.706982138222568,1.5
-71.468025494141,-27.9741549603509,1.5
-72.58350775013257,-25.193618440144533,1.5
-74.43685452584145,-20.52121291985204,1.5
-77.01082584409454,-14.03206693049442,1.5
-80.52830082060213,-5.164287995039452,1.5
-84.68265210093976,5.309096754050032,1.5
-89.36166161694959,17.105178404092676,1.5
-94.14759773352458,29.170828839262278,1.5
-98.92625950898213,41.218140196155154,1.5
-103.60494014599719,53.01339272125973,1.5
-108.41657671827623,65.14383564571384,1.5
