index,window_start_s,window_end_s,enb_x,enb_y,enb_z,ue_x,ue_y,ue_z,tx_rx_distance_3d_m,app_tx_packets,app_tx_bytes,tap_side_rx_packets,tap_side_rx_bytes,delivery_ratio,first_app_tx_s,last_app_tx_s,first_tap_side_rx_s,last_tap_side_rx_s,mean_tap_side_rx_interarrival_s
0,0.000000000,20.000000000,49.000000000,-17.000000000,12.000000000,32.000000000,-9.000000000,1.500000000,21.523243250,170,85000,170,94860,1.000000000,3.000000000,19.900000000,3.013974142,19.912974142,0.099994083
1,20.000000000,40.000000000,49.000000000,-17.000000000,12.000000000,-72.000000000,-31.000000000,1.500000000,122.258946503,200,100000,200,111600,1.000000000,20.000000000,39.900000000,20.012974142,39.912974142,0.100000000
2,40.000000000,60.000000000,49.000000000,-17.000000000,12.000000000,-120.000000000,90.000000000,1.500000000,200.300399401,200,100000,200,111600,1.000000000,40.000000000,59.900000000,40.012974142,59.912974142,0.100000000
3,60.000000000,80.000000000,49.000000000,-17.000000000,12.000000000,-208.000000000,-101.000000000,1.500000000,270.583166513,200,100000,200,111600,1.000000000,60.000000000,79.900000000,60.012974142,79.912974142,0.100000000
4,80.000000000,105.000000000,49.000000000,-17.000000000,12.000000000,205.000000000,177.000000000,1.500000000,249.163099194,250,125000,0,0,0.000000000,80.000000000,104.900000000,-1.000000000,-1.000000000,nan
